,kernel_initializer,training_loss,training_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy,time
0,variance_scaling,0.31988003849983215,0.8685150146484375,0.30412375926971436,0.8785714507102966,0.3361522853374481,0.8598917722702026,58.34719657897949
12,random_normal,0.33034828305244446,0.8662593960762024,0.31348469853401184,0.8751879930496216,0.34080731868743896,0.8583884835243225,61.97934532165527
3,identity,0.35579967498779297,0.856203019618988,0.33468955755233765,0.8654135465621948,0.3694643974304199,0.843956708908081,84.44797587394714
5,he_normal,0.3886459469795227,0.8498120307922363,0.3668758273124695,0.848872184753418,0.40783196687698364,0.8391461372375488,61.743974924087524
2,orthogonal,0.37532228231430054,0.8441729545593262,0.35714372992515564,0.8556391000747681,0.381898432970047,0.8355382084846497,59.17696833610535
1,constant,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,59.32912755012512
4,he_uniform,0.6925254464149475,0.5018796920776367,0.6934080123901367,0.49210527539253235,0.6932229399681091,0.5003006458282471,58.4730966091156
6,glorot_uniform,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,58.894532203674316
7,glorot_normal,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,58.74593639373779
8,ones,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,59.57737731933594
9,zeros,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,84.16260766983032
10,truncated_normal,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,58.83483695983887
11,random_uniform,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,58.04694867134094
